"Code","Date","Start","High","Low","End","Transaction"
000020.KS,20000427,11100.00,11500.00,10499.97,10899.98,325900
000020.KS,20000428,10899.98,11900.00,10899.98,11399.99,582400
000020.KS,20000501,11399.99,11399.99,11399.99,11399.99,000
000020.KS,20000502,11650.02,11950.01,11399.99,11550.01,277500
000020.KS,20000503,11500.00,11550.01,10999.99,11399.99,294000
000020.KS,20000504,11399.99,12650.00,11299.98,11550.01,1025800
000020.KS,20000505,11550.01,11550.01,11550.01,11550.01,000
000020.KS,20000508,12050.02,12300.00,11500.00,11500.00,653500
000020.KS,20000509,11500.00,11500.00,11500.00,11500.00,000
000020.KS,20000510,11200.01,11600.01,11150.01,11349.98,540200
000020.KS,20000511,11349.98,11349.98,11349.98,11349.98,000
000020.KS,20000512,11250.02,12499.98,10999.99,11799.99,1320400
000020.KS,20000515,12000.02,13550.01,11799.99,13550.01,4150900
000020.KS,20000516,14700.01,14850.03,12149.98,12300.00,6279300
000020.KS,20000517,12300.00,12999.99,11200.01,11299.98,2156300
000020.KS,20000518,10999.99,12099.98,10050.02,11100.00,3442200
000020.KS,20000519,10649.99,11500.00,10249.99,10549.98,1513500
000020.KS,20000522,10000.01,10249.99,8999.99,8999.99,1529000
000020.KS,20000523,7919.98,8700.00,7650.02,7849.99,1818400
000020.KS,20000524,7700.02,8199.98,7109.99,7900.00,1311100
000020.KS,20000525,8000.01,9080.02,8000.01,9080.02,1045400
000020.KS,20000526,8999.99,8999.99,8000.01,8500.02,715300
000020.KS,20000529,7229.98,8790.02,7229.98,8500.02,773500
000020.KS,20000530,8500.02,8500.02,8500.02,8500.02,000
000020.KS,20000531,8939.99,9279.99,8810.00,9009.98,951700
000020.KS,20000601,9100.00,10000.01,8680.02,9500.00,1707200
000020.KS,20000602,9650.02,10199.99,9200.01,9399.99,1137600
000020.KS,20000605,9409.98,10000.01,9399.99,9700.03,1087600
000020.KS,20000606,9700.03,9700.03,9700.03,9700.03,000
000020.KS,20000607,10000.01,10499.97,9909.99,10149.98,1405400
000020.KS,20000608,10300.00,10400.01,9100.00,9399.99,829600
000020.KS,20000609,9610.00,9900.00,9399.99,9500.00,508300
000020.KS,20000612,9799.99,10899.98,9799.99,10899.98,2421500
000020.KS,20000613,10899.98,11200.01,9700.03,9799.99,1590300
000020.KS,20000614,10499.97,10499.97,9530.02,9849.99,611300
000020.KS,20000615,9300.02,9500.00,8700.00,8700.00,561800
000020.KS,20000616,8410.00,9049.99,8350.00,8800.01,383600
000020.KS,20000619,8350.00,8930.00,8350.00,8750.00,337800
000020.KS,20000620,9150.00,9399.99,8730.02,8949.98,628800
000020.KS,20000621,8709.99,9169.99,8700.00,8900.02,486600
000020.KS,20000622,9399.99,9500.00,8949.98,9150.00,566500
000020.KS,20000623,8910.02,9250.02,8900.02,8999.99,345500
000020.KS,20000626,9550.01,10350.01,9300.02,10350.01,2777300
000020.KS,20000627,10599.99,11250.02,9809.98,10100.03,6177400
000020.KS,20000628,10100.03,10400.01,9799.99,9849.99,1389400
000020.KS,20000629,9900.00,10000.01,9300.02,9409.98,925900
000020.KS,20000630,9409.98,9849.99,9399.99,9600.01,1040800
